name,count,gender
Liam,19858,M
Noah,18451,M
Olivia,17682,F
Emma,15714,F
Oliver,14275,M
Elijah,13224,M
Ava,13197,F
Charlotte,13097,F
Sophia,13095,F
Amelia,12799,F
William,12673,M
James,12381,M
Benjamin,12254,M
Isabella,12217,F
Lucas,11381,M
Mia,11264,F
Henry,10789,M
Alexander,10262,M
Mason,10112,M
Michael,9824,M
Ethan,9551,M
Daniel,9521,M
Evelyn,9516,F
Jacob,9306,M
Logan,9161,M
Jackson,9131,M
Levi,9091,M
Sebastian,9021,M
Mateo,9004,M
Jack,8942,M
Harper,8848,F
Owen,8667,M
Theodore,8637,M
Aiden,8613,M
Samuel,8585,M
Joseph,8479,M
John,8262,M
David,8259,M
Wyatt,8220,M
Camila,8164,F
Matthew,8137,M
Abigail,7910,F
Gianna,7899,F
Luna,7845,F
Luke,7782,M
Asher,7695,M
Carter,7575,M
Julian,7551,M
Grayson,7482,M
Ella,7367,F
Elizabeth,7299,F
Leo,7222,M
Jayden,7173,M
Gabriel,7165,M
Isaac,7149,M
Lincoln,7058,M
Anthony,7030,M
Sofia,6987,F
Emily,6914,F
Dylan,6855,M
Hudson,6848,M
Ezra,6830,M
Avery,6744,F
Mila,6642,F
Scarlett,6518,F
Thomas,6447,M
Eleanor,6378,F
Madison,6249,F
Charles,6243,M
Layla,6221,F
Christopher,6213,M
Jaxon,6164,M
Josiah,6162,M
Penelope,6149,F
Chloe,6145,F
Aria,6139,F
Maverick,6137,M
Isaiah,6090,M
Andrew,6062,M
Joshua,6011,M
Elias,5990,M
Nathan,5700,M
Grace,5623,F
Caleb,5612,M
Ellie,5601,F
Nora,5581,F
Hazel,5513,F
Zoey,5384,F
Ryan,5341,M
Riley,5338,F
Adrian,5316,M
Victoria,5301,F
Miles,5300,M
Eli,5278,M
Aurora,5252,F
Lily,5251,F
Nolan,5198,M
Violet,5128,F
Christian,5101,M
Aaron,5098,M
Ezekiel,5090,M
Cameron,5055,M
Colton,5022,M
Nova,5005,F
Hannah,4966,F
Luca,4831,M
Zoe,4797,F
Emilia,4782,F
Landon,4781,M
Hunter,4780,M
Jonathan,4755,M
Santiago,4687,M
Stella,4667,F
Axel,4666,M
Easton,4654,M
Everly,4630,F
Jeremiah,4596,M
Cooper,4592,M
Isla,4579,F
Leah,4527,F
Angel,4524,M
Lillian,4511,F
Addison,4493,F
Roman,4488,M
Connor,4413,M
Jameson,4404,M
Robert,4401,M
Willow,4396,F
Paisley,4377,F
Greyson,4372,M
Lucy,4367,F
Natalie,4290,F
Jordan,4283,M
Ian,4266,M
Carson,4193,M
Jaxson,4180,M
Naomi,4119,F
Leonardo,4102,M
Eliana,4087,F
Nicholas,4065,M
Brooklyn,4027,F
Austin,4018,M
Dominic,4017,M
Everett,4013,M
Elena,3926,F
Aubrey,3919,F
Xavier,3900,M
Brooks,3870,M
Kai,3863,M
Jose,3854,M
Ivy,3840,F
Claire,3837,F
Parker,3811,M
Jace,3784,M
Adam,3778,M
Kinsley,3776,F
Audrey,3766,F
Maya,3744,F
Wesley,3705,M
Genesis,3692,F
Kayden,3646,M
Bella,3645,F
Silas,3642,M
Skylar,3640,F
Bennett,3601,M
Declan,3601,M
Waylon,3586,M
Aaliyah,3578,F
Madelyn,3549,F
Savannah,3543,F
Anna,3507,F
Serenity,3435,F
Weston,3423,M
Delilah,3420,F
Evan,3413,M
Micah,3410,M
Emmett,3405,M
Ryder,3377,M
Caroline,3362,F
Kennedy,3360,F
Valentina,3352,F
Beau,3344,M
Ruby,3339,F
Damian,3337,M
Sophie,3315,F
Alice,3294,F
Brayden,3292,M
Gael,3262,M
Rowan,3257,M
Gabriella,3246,F
Harrison,3221,M
Bryson,3217,M
Sadie,3204,F
Sawyer,3187,M
Kingston,3181,M
Amir,3180,M
Ariana,3171,F
Allison,3159,F
Hailey,3155,F
Autumn,3139,F
Nevaeh,3127,F
Jason,3103,M
Quinn,3078,F
Natalia,3076,F
Sarah,3069,F
Josephine,3057,F
Giovanni,3053,M
Vincent,3042,M
Cora,3034,F
Ayden,3020,M
Chase,2994,M
Emery,2983,F
Myles,2960,M
Samantha,2955,F
Nathaniel,2926,M
Diego,2910,M
Piper,2900,F
Leilani,2889,F
Legend,2847,M
Eva,2845,F
Everleigh,2825,F
Jonah,2819,M
River,2814,M
Lydia,2803,F
Madeline,2799,F
Tyler,2798,M
Braxton,2782,M
George,2771,M
Cole,2768,M
Milo,2767,M
Jade,2748,F
Peyton,2730,F
Zachary,2726,M
Adeline,2719,F
Brielle,2718,F
Ashton,2712,M
Vivian,2705,F
Luis,2701,M
Rylee,2701,F
Clara,2696,F
Jasper,2639,M
Kaiden,2620,M
Adriel,2611,M
Raelynn,2610,F
Bentley,2589,M
Gavin,2588,M
Calvin,2535,M
Zion,2534,M
Melanie,2527,F
Juan,2523,M
Melody,2522,F
Athena,2515,F
Maxwell,2513,M
Julia,2508,F
Maria,2492,F
Max,2484,M
Ryker,2480,M
Carlos,2479,M
Liliana,2479,F
Jayce,2466,M
Emmanuel,2461,M
Lorenzo,2456,M
Ivan,2440,M
Jude,2439,M
August,2432,M
Hadley,2424,F
Malachi,2400,M
Kevin,2384,M
Rose,2379,F
Arya,2372,F
Reagan,2371,F
Elliott,2364,M
Rhett,2350,M
Archer,2349,M
Eliza,2349,F
Luka,2344,M
Karter,2340,M
Adalynn,2339,F
Kaylee,2336,F
Arthur,2335,M
Elliot,2318,M
Brandon,2312,M
Justin,2309,M
Camden,2308,M
Lyla,2307,F
Thiago,2305,M
Jesus,2296,M
Mackenzie,2296,F
Maddox,2293,M
Alaia,2282,F
King,2264,M
Isabelle,2253,F
Charlie,2239,F
Mary,2229,F
Theo,2225,M
Enzo,2219,M
Matteo,2219,M
Arianna,2212,F
Emiliano,2206,M
Remi,2205,F
Margaret,2195,F
Iris,2177,F
Dean,2164,M
Hayden,2156,M
Brody,2147,M
Finn,2147,M
Parker,2147,F
Antonio,2138,M
Abel,2130,M
Tristan,2124,M
Alex,2122,M
Judah,2107,M
Zayden,2102,M
Graham,2095,M
Atlas,2054,M
Xander,2054,M
Miguel,2053,M
Ximena,2037,F
Eden,2036,F
Messiah,2035,M
Ayla,2025,F
Kylie,2022,F
Elliana,2018,F
Tucker,2013,M
Barrett,2010,M
Timothy,2010,M
Josie,2001,F
Faith,1998,F
Katherine,1991,F
Eloise,1969,F
Alan,1966,M
Alexandra,1966,F
Edward,1950,M
Amaya,1939,F
Adalyn,1934,F
Jasmine,1934,F
Leon,1923,M
Dawson,1918,M
Amara,1918,F
Eric,1917,M
Ace,1911,M
Victor,1904,M
Abraham,1899,M
Daisy,1896,F
Nicolas,1891,M
Jesse,1885,M
Valerie,1881,F
Brianna,1878,F
Reese,1878,F
Charlie,1871,M
Patrick,1863,M
Walker,1861,M
Cecilia,1859,F
Joel,1842,M
Esther,1831,F
Richard,1826,M
Andrea,1819,F
Valeria,1816,F
Summer,1814,F
Blake,1813,M
Beckett,1810,M
Norah,1810,F
Ashley,1807,F
Ariella,1801,F
Avery,1794,M
Emerson,1793,F
Alejandro,1792,M
Aubree,1788,F
